Datum,S_Grondstof,S_Container,S_Liter,V_Aantal,S_Order_Count,S_Customer_Count,S_Country_Reach,S_City_Reach,S_Main_City,S_Main_Customer,S_Main_Country,V_Product_Name,V_Business_Name,V_Storage_Location,E_Event_Name,V_Type,temp_mean,rain_mm
2023-10-03,Hoop Lager,Keg 50L,0.0,0.0,0,0,0,0,,,,,,,,,16.7,2.6
2023-10-04,Hoop Bleke Nelis,Giftset,3.3,-3.0,1,1,1,1,Zaandijk,Winkel | Hoop Doet Eten,Nederland,Hoop Cadeauset 5x 5 fles kern,Hoop Bier B.V.,Lagedijk,,Correctie,15.4,0.5
2023-10-04,Hoop Bleke Nelis,Bottle 33cl,7.92,-2.0,1,1,1,1,Zaandijk,Winkel | Hoop Doet Eten,Nederland,"Hoop Bleke Nelis doos 12fles/0,33l",Winkel | Hoop doet Eten,Lagedijk,,Verzending,15.4,0.5
2023-10-04,Hoop Bleke Nelis,Can 33cl,0.0,0.0,0,0,0,0,,,,,,,,,15.4,0.5
2023-10-04,Hoop Bleke Nelis,Keg 20L,80.0,-5.0,1,1,1,1,Zaandijk,Restaurant | Hoop Doet Eten,Nederland,Hoop Bleke Nelis rvs 20L,Hoop Bier B.V.,Lagedijk,,Correctie,15.4,0.5
2023-10-04,Hoop Bleke Nelis,Bottle 75cl,0.0,0.0,0,0,0,0,,,,,,,,,15.4,0.5
2023-10-04,Hoop Bleke Nelis,Other,0.0,0.0,0,0,0,0,,,,,,,,,15.4,0.5
2023-10-04,Hoop Bleke Nelis,Keg 50L,0.0,0.0,0,0,0,0,,,,,,,,,15.4,0.5
2023-10-04,Hoop Kaper Tropical IPA,Giftset,0.0,0.0,0,0,0,0,,,,,,,,,15.4,0.5
2023-10-04,Hoop Kaper Tropical IPA,Bottle 33cl,7.92,93.0,1,1,1,1,Zaandijk,Winkel | Hoop Doet Eten,Nederland,"Hoop Seasonal Summer Session IPA doos 12fles/0,33l",Beer & Selected Beverages eesv (BSB),Lagedijk,,Ontvangst,15.4,0.5
2023-10-04,Hoop Kaper Tropical IPA,Can 33cl,0.0,0.0,0,0,0,0,,,,,,,,,15.4,0.5
2023-10-04,Hoop Kaper Tropical IPA,Keg 20L,60.0,-2.0,1,1,1,1,Zaandijk,Restaurant | Hoop Doet Eten,Nederland,Hoop Seasonal Summer Session IPA rvs 20L,Hoop Bier B.V.,Lagedijk,,Toevoeging,15.4,0.5
2023-10-04,Hoop Kaper Tropical IPA,Bottle 75cl,0.0,0.0,0,0,0,0,,,,,,,,,15.4,0.5
2023-10-04,Hoop Kaper Tropical IPA,Other,0.0,0.0,0,0,0,0,,,,,,,,,15.4,0.5
2023-10-04,Hoop Kaper Tropical IPA,Keg 50L,0.0,0.0,0,0,0,0,,,,,,,,,15.4,0.5
2023-10-04,Hoop Lager,Giftset,0.0,0.0,0,0,0,0,,,,,,,,,15.4,0.5
2023-10-04,Hoop Lager,Bottle 33cl,0.0,0.0,0,0,0,0,,,,,,,,,15.4,0.5
2023-10-04,Hoop Lager,Can 33cl,0.0,0.0,0,0,0,0,,,,,,,,,15.4,0.5
2023-10-04,Hoop Lager,Keg 20L,40.0,19.0,1,1,1,1,Zaandijk,Restaurant | Hoop Doet Eten,Nederland,Hoop US Lager rvs 20L,Hoop Bier B.V.,Lagedijk,,Correctie,15.4,0.5
2023-10-04,Hoop Lager,Bottle 75cl,0.0,0.0,0,0,0,0,,,,,,,,,15.4,0.5
2023-10-04,Hoop Lager,Other,0.0,0.0,0,0,0,0,,,,,,,,,15.4,0.5
2023-10-04,Hoop Lager,Keg 50L,0.0,0.0,0,0,0,0,,,,,,,,,15.4,0.5
2023-10-05,Hoop Bleke Nelis,Giftset,0.0,0.0,0,0,0,0,,,,,,,,,16.0,0.3
2023-10-05,Hoop Bleke Nelis,Bottle 33cl,11.88,-3.0,1,1,1,1,Middenmeer,Biergro Bv,Nederland,"Hoop Bleke Nelis doos 12fles/0,33l",BierGro BV,Lagedijk,,Verzending,16.0,0.3
2023-10-05,Hoop Bleke Nelis,Can 33cl,0.0,0.0,0,0,0,0,,,,,,,,,16.0,0.3
2023-10-05,Hoop Bleke Nelis,Keg 20L,40.0,-4.0,2,1,1,1,Zaandijk,Cafe De Slager,Nederland,Hoop Bleke Nelis rvs 20L,Cafe de Slager,Lagedijk,,Verzending,16.0,0.3
2023-10-05,Hoop Bleke Nelis,Bottle 75cl,0.0,0.0,0,0,0,0,,,,,,,,,16.0,0.3
2023-10-05,Hoop Bleke Nelis,Other,0.0,0.0,0,0,0,0,,,,,,,,,16.0,0.3
2023-10-05,Hoop Bleke Nelis,Keg 50L,0.0,0.0,0,0,0,0,,,,,,,,,16.0,0.3
2023-10-05,Hoop Kaper Tropical IPA,Giftset,0.0,0.0,0,0,0,0,,,,,,,,,16.0,0.3
2023-10-05,Hoop Kaper Tropical IPA,Bottle 33cl,0.0,0.0,0,0,0,0,,,,,,,,,16.0,0.3
2023-10-05,Hoop Kaper Tropical IPA,Can 33cl,0.0,0.0,0,0,0,0,,,,,,,,,16.0,0.3
2023-10-05,Hoop Kaper Tropical IPA,Keg 20L,0.0,0.0,0,0,0,0,,,,,,,,,16.0,0.3
2023-10-05,Hoop Kaper Tropical IPA,Bottle 75cl,0.0,0.0,0,0,0,0,,,,,,,,,16.0,0.3
2023-10-05,Hoop Kaper Tropical IPA,Other,0.0,0.0,0,0,0,0,,,,,,,,,16.0,0.3
2023-10-05,Hoop Kaper Tropical IPA,Keg 50L,0.0,0.0,0,0,0,0,,,,,,,,,16.0,0.3
2023-10-05,Hoop Lager,Giftset,0.0,0.0,0,0,0,0,,,,,,,,,16.0,0.3
2023-10-05,Hoop Lager,Bottle 33cl,0.0,0.0,0,0,0,0,,,,,,,,,16.0,0.3
2023-10-05,Hoop Lager,Can 33cl,0.0,0.0,0,0,0,0,,,,,,,,,16.0,0.3
2023-10-05,Hoop Lager,Keg 20L,0.0,0.0,0,0,0,0,,,,,,,,,16.0,0.3
2023-10-05,Hoop Lager,Bottle 75cl,0.0,0.0,0,0,0,0,,,,,,,,,16.0,0.3
2023-10-05,Hoop Lager,Other,0.0,0.0,0,0,0,0,,,,,,,,,16.0,0.3
2023-10-05,Hoop Lager,Keg 50L,0.0,0.0,0,0,0,0,,,,,,,,,16.0,0.3
2023-10-06,Hoop Bleke Nelis,Giftset,0.0,0.0,0,0,0,0,,,,,,,,,16.6,0.0
2023-10-06,Hoop Bleke Nelis,Bottle 33cl,102.96000000000001,-78.0,3,3,1,2,Zaandam,Compaen Vmbo,Nederland,"Hoop Bleke Nelis doos 12fles/0,33l",Rue Du Saint,Lagedijk,,Verzending,16.6,0.0
2023-10-06,Hoop Bleke Nelis,Can 33cl,0.0,0.0,0,0,0,0,,,,,,,,,16.6,0.0
2023-10-06,Hoop Bleke Nelis,Keg 20L,680.0,-34.0,1,1,1,1,Zaandijk,Restaurant | Hoop Doet Eten,Nederland,Hoop Bleke Nelis rvs 20L,Restaurant | Hoop doet Eten,Lagedijk,,Verzending,16.6,0.0
2023-10-06,Hoop Bleke Nelis,Bottle 75cl,0.0,0.0,0,0,0,0,,,,,,,,,16.6,0.0
2023-10-06,Hoop Bleke Nelis,Other,60.0,-2.0,1,1,1,1,Zaandijk,Restaurant | Hoop Doet Eten,Nederland,Hoop Bleke Nelis dolium 30L,Restaurant | Hoop doet Eten,Lagedijk,,Verzending,16.6,0.0
2023-10-06,Hoop Bleke Nelis,Keg 50L,0.0,0.0,0,0,0,0,,,,,,,,,16.6,0.0
2023-10-06,Hoop Kaper Tropical IPA,Giftset,0.0,0.0,0,0,0,0,,,,,,,,,16.6,0.0
2023-10-06,Hoop Kaper Tropical IPA,Bottle 33cl,0.0,0.0,0,0,0,0,,,,,,,,,16.6,0.0
2023-10-06,Hoop Kaper Tropical IPA,Can 33cl,0.0,0.0,0,0,0,0,,,,,,,,,16.6,0.0
2023-10-06,Hoop Kaper Tropical IPA,Keg 20L,0.0,0.0,0,0,0,0,,,,,,,,,16.6,0.0
