beer,container,model,MAE,RMSE,SMAPE
Hoop Bleke Nelis,Bottle 75cl,HoltWinters_Additive,40.71663338296647,90.25807903400013,193.008720693819
Hoop Bleke Nelis,Keg 20L,HoltWinters_Additive,110.03077516255402,162.538698661319,58.67766166611891
Hoop Bleke Nelis,Keg 50L,HoltWinters_Additive,15.781276852419477,58.206019500041435,199.79262288333456
Hoop Bleke Nelis,Other,HoltWinters_Additive,20.28043143435547,28.39785262414001,144.0765388249252
Hoop Kaper Tropical IPA,Bottle 33cl,HoltWinters_Additive,37.83196035465241,46.179619756592224,159.23434828229358
Hoop Kaper Tropical IPA,Keg 20L,HoltWinters_Additive,68.29470094647239,94.2614194894146,131.74121865493714
Hoop Kaper Tropical IPA,Other,HoltWinters_Additive,11.73537428346759,20.696811476305136,118.42417031796788
Hoop Lager,Bottle 33cl,HoltWinters_Additive,2.135989524852821,3.1643359320629445,199.99810890876745
Hoop Lager,Keg 20L,HoltWinters_Additive,235.88186372045493,323.9989425490175,66.49524076044344
Hoop Lager,Keg 50L,HoltWinters_Additive,99.3689087480005,157.0655688100805,193.06915593571682
Hoop Lager,Other,HoltWinters_Additive,11.716882873881385,21.883930302054722,199.37499369652917
