Factuurnummer,Factuurdatum,Identificatienummer,Naam,Commerciële naam,Bedrijfscategorieën,Vertegenwoordiger,Land,Stad,Prijsklasse,Artikelnummer,Naam product,Productcategorieën,Aantal,Grondstof,Liter
202500917,19/11/2025,4,Restaurant | Hoop doet Eten,Restaurant | Hoop doet Eten,Eigen groep,Dennis de Leeuw,Nederland,Zaandijk,Korting 25%,57,"Hoop Seasonal Summer Session IPA doos 12fles/0,33l","Bier in fles, Seasonal",2,Hoop Kaper Tropical - Summer Session IPA,7.92
202500919,19/11/2025,517,Tap Zuid B.V.,Tap Zuid B.V.,"Restaurant, Wisseltap",Dennis de Leeuw,Nederland,AMSTERDAM,Korting 15%,534,Hoop Kaper Tropical  IPA KU 20L,"Bier in KU fust, Kern",2,Hoop Kaper Tropical - Summer Session IPA,40.0
202500920,17/11/2025,468,Zaans Museum,Zaans Museum,"Overige, Zaanstreek",Sjors Sombroek,Nederland,Zaandam,Korting 15%,17,"Hoop Bleke Nelis doos 12fles/0,33l","Bier in fles, Kern",1,Hoop Bleke Nelis,3.96
202500920,17/11/2025,468,Zaans Museum,Zaans Museum,"Overige, Zaanstreek",Sjors Sombroek,Nederland,Zaandam,Korting 15%,192,Hoop Cadeauset 5x 5 fles kern,Cadeauset,4,Hoop Bleke Nelis,6.6
202500921,19/11/2025,23,Slijterij Drinks & Gifts,Slijterij Drinks & Gifts,"Slijterij, Zaanstreek",Dennis de Leeuw,Nederland,KROMMENIE,Korting 15%,192,Hoop Cadeauset 5x 5 fles kern,Cadeauset,2,Hoop Bleke Nelis,3.3
202500922,19/11/2025,491,Koog Supermarkten BV,Koog Supermarkten BV,"Slijterij, Zaanstreek",Sjors Sombroek,Nederland,Haarlem,Korting 20%,17,"Hoop Bleke Nelis doos 12fles/0,33l","Bier in fles, Kern",1,Hoop Bleke Nelis,3.96
202500922,19/11/2025,491,Koog Supermarkten BV,Koog Supermarkten BV,"Slijterij, Zaanstreek",Sjors Sombroek,Nederland,Haarlem,Korting 20%,480,"Hoop Kaper Tropical IPA doos 12fles/0,33l","Bier in fles, Kern",1,Hoop Kaper Tropical - Summer Session IPA,3.96
202500923,21/11/2025,256,Roxy's Deli,Roxy's Deli,"Retail, Speciaalzaak, Zaanstreek",Sjors Sombroek,Nederland,ZAANDAM,Korting 15%,17,"Hoop Bleke Nelis doos 12fles/0,33l","Bier in fles, Kern",2,Hoop Bleke Nelis,7.92
202500923,21/11/2025,256,Roxy's Deli,Roxy's Deli,"Retail, Speciaalzaak, Zaanstreek",Sjors Sombroek,Nederland,ZAANDAM,Korting 15%,480,"Hoop Kaper Tropical IPA doos 12fles/0,33l","Bier in fles, Kern",2,Hoop Kaper Tropical - Summer Session IPA,7.92
202500923,21/11/2025,256,Roxy's Deli,Roxy's Deli,"Retail, Speciaalzaak, Zaanstreek",Sjors Sombroek,Nederland,ZAANDAM,Korting 15%,330,"Hoop Santa Nelis doos 6fles/0,75l","Bier in fles, Limited",9,Hoop Bleke Nelis,40.5
