date,temp_mean,rain_mm
2024-01-16,1.1,3.0
2024-01-17,-1.1,0.0
2024-01-18,-1.6,0.0
2024-01-19,1.7,1.7
2024-01-20,1.3,0.0
2024-01-21,3.4,0.2
2024-01-22,8.9,6.5
2024-01-23,7.5,6.6
2024-01-24,9.8,1.2
2024-01-25,6.7,0.4
2024-01-26,8.3,4.6
2024-01-27,4.4,0.0
2024-01-28,3.9,0.0
2024-01-29,6.4,0.0
2024-01-30,8.0,0.8
2024-01-31,6.1,0.0
2024-02-01,6.7,3.8
2024-02-02,7.9,0.1
2024-02-03,9.7,1.7
2024-02-04,9.5,4.0
2024-02-05,9.2,0.1
2024-02-06,9.9,7.3
2024-02-07,5.1,9.7
2024-02-08,1.7,9.0
2024-02-09,9.4,9.8
2024-02-10,9.5,2.5
2024-02-11,8.3,6.6
2024-02-12,6.1,5.5
2024-02-13,6.1,1.9
2024-02-14,10.1,12.0
2024-02-15,12.5,5.5
2024-02-16,10.6,0.5
2024-02-17,8.9,0.5
2024-02-18,9.4,24.8
2024-02-19,8.2,0.7
2024-02-20,8.1,0.8
2024-02-21,9.2,5.5
2024-02-22,10.1,10.0
2024-02-23,5.5,5.8
2024-02-24,4.1,3.3
2024-02-25,5.5,2.8
2024-02-26,5.0,0.2
2024-02-27,4.2,0.0
2024-02-28,6.6,0.1
2024-02-29,8.1,6.7
2024-03-01,7.6,6.8
2024-03-02,8.3,3.5
2024-03-03,9.8,0.3
2024-03-04,6.9,0.3
2024-03-05,5.3,0.4
2024-03-06,6.4,0.1
2024-03-07,5.4,0.0
2024-03-08,5.0,0.0
2024-03-09,7.4,0.0
2024-03-10,8.5,0.0
2024-03-11,7.3,4.7
2024-03-12,8.4,1.7
2024-03-13,10.5,1.2
2024-03-14,12.2,0.0
2024-03-15,12.0,4.1
2024-03-16,8.0,0.7
2024-03-17,8.6,3.8
2024-03-18,10.5,0.3
2024-03-19,10.4,0.0
2024-03-20,10.2,1.8
2024-03-21,8.7,0.0
2024-03-22,9.4,0.9
2024-03-23,6.3,3.2
2024-03-24,6.6,11.5
2024-03-25,7.2,0.2
2024-03-26,8.6,0.0
2024-03-27,10.0,0.7
2024-03-28,7.9,1.7
2024-03-29,10.4,0.5
2024-03-30,8.9,3.6
2024-03-31,9.2,7.5
2024-04-01,9.3,0.0
2024-04-02,9.3,0.6
2024-04-03,10.5,7.7
2024-04-04,11.0,14.0
2024-04-05,12.9,7.7
2024-04-06,16.9,0.0
2024-04-07,15.1,2.0
2024-04-08,13.8,1.6
2024-04-09,11.6,2.2
2024-04-10,10.5,0.4
2024-04-11,12.9,1.3
2024-04-12,14.0,0.0
2024-04-13,15.1,0.0
2024-04-14,10.7,0.0
2024-04-15,8.2,13.9
2024-04-16,7.7,11.9
2024-04-17,6.1,6.0
2024-04-18,6.8,1.9
2024-04-19,8.3,12.2
2024-04-20,6.9,2.0
2024-04-21,6.3,1.8
2024-04-22,5.3,0.4
2024-04-23,5.1,1.4
2024-04-24,6.4,4.8
2024-04-25,5.8,3.1
2024-04-26,7.2,0.9
2024-04-27,9.7,5.7
2024-04-28,12.4,2.8
2024-04-29,11.5,1.5
2024-04-30,15.2,0.4
2024-05-01,18.1,2.1
2024-05-02,17.2,0.4
2024-05-03,11.8,11.2
2024-05-04,11.4,2.5
2024-05-05,12.3,8.6
2024-05-06,13.6,0.0
2024-05-07,13.3,0.3
2024-05-08,12.3,1.2
2024-05-09,11.5,0.0
2024-05-10,13.7,0.0
2024-05-11,15.1,0.0
2024-05-12,18.1,0.0
2024-05-13,18.8,1.1
2024-05-14,19.7,0.4
2024-05-15,15.8,5.4
2024-05-16,15.5,4.1
2024-05-17,15.1,8.7
2024-05-18,17.2,2.0
2024-05-19,16.3,0.6
2024-05-20,15.4,8.6
2024-05-21,17.3,3.8
2024-05-22,15.8,20.7
2024-05-23,15.0,1.4
2024-05-24,14.7,3.3
2024-05-25,15.1,17.2
2024-05-26,15.2,6.9
2024-05-27,14.0,4.3
2024-05-28,13.9,6.7
2024-05-29,14.8,29.5
2024-05-30,13.6,1.8
2024-05-31,15.1,3.7
2024-06-01,15.4,2.6
2024-06-02,13.9,0.0
2024-06-03,13.4,0.1
2024-06-04,15.3,2.5
2024-06-05,12.7,2.8
2024-06-06,12.5,0.2
2024-06-07,13.0,3.3
2024-06-08,13.3,2.5
2024-06-09,12.3,0.2
2024-06-10,11.2,31.1
2024-06-11,11.7,3.8
2024-06-12,11.1,3.1
2024-06-13,13.1,1.2
2024-06-14,14.7,2.1
2024-06-15,13.8,11.7
2024-06-16,14.1,6.8
2024-06-17,15.1,0.4
2024-06-18,15.2,2.4
2024-06-19,14.9,2.0
2024-06-20,14.5,0.0
2024-06-21,15.5,8.0
2024-06-22,15.9,0.0
2024-06-23,17.4,0.1
2024-06-24,18.4,0.0
2024-06-25,21.0,0.0
2024-06-26,22.9,0.0
2024-06-27,21.3,0.0
2024-06-28,16.7,0.1
2024-06-29,17.7,0.0
2024-06-30,16.9,0.9
2024-07-01,15.0,0.7
2024-07-02,14.7,7.7
2024-07-03,13.2,8.0
2024-07-04,15.2,6.5
2024-07-05,15.6,3.5
2024-07-06,15.9,12.8
2024-07-07,13.6,11.1
2024-07-08,15.5,0.7
2024-07-09,19.8,5.3
2024-07-10,18.1,1.2
2024-07-11,16.6,0.8
2024-07-12,14.5,10.1
2024-07-13,14.5,7.9
2024-07-14,15.8,2.0
2024-07-15,18.2,2.1
2024-07-16,17.7,12.7
2024-07-17,17.1,0.0
2024-07-18,18.4,0.1
2024-07-19,22.3,0.0
2024-07-20,22.9,0.0
2024-07-21,19.5,15.8
2024-07-22,17.9,0.9
2024-07-23,18.6,3.6
2024-07-24,17.1,0.0
2024-07-25,18.0,1.7
2024-07-26,18.3,4.1
2024-07-27,17.3,1.3
2024-07-28,17.9,0.0
2024-07-29,19.0,0.0
